Sample	No. Passed QC Reads	Mapped Reads	Mapped Reads % (mapq >= 40)	Duplicate Read %	Times coverage (mean)
SAMN18312891	22,068 	99.32%	99.85%	10.74%	17.3687X
SAMN18312892	109,288 	99.52%	99.92%	11.86%	85.9869X
SAMN18312893	29,528 	98.80%	99.74%	6.82%	15.3188X
SAMN18868101	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN19277828	9,674 	98.77%	100%	9.77%	7.532X
SAMN20286616	499,210 	98.95%	100 	23.06%	391.9557X
SAMN22028789	15,960,271 	0.47%	100%	0.05%	2,278.2203X
SAMN22028790	2,394,821 	0.22%	100%	0%	121.3666X
SAMN22028791	3,149,761 	0.02%	100%	0%	13.4271X
SAMN22028792	5,799,779 	0.67%	100%	0.04%	1,257.0432X
SAMN22028793	7,651,720 	0.18%	100%	0%	385.7601X
SAMN22028794	10,976,942 	0.20%	100%	0.01%	626.7233X
SAMN22028795	14,823,281 	0.06%	100%	0%	282.3187X
SAMN22028796	13,684,203 	0.39%	100%	0.03%	1,973.013X
SAMN22028797	11,683,159 	0.48%	100%	0.04%	1,890.6431X
SAMN22028798	535,233 	0.25%	100%	0%	44.6611X
SAMN22028799	348,090 	0.28%	100%	0%	30.2629X
SAMN22028800	11,872,137 	0.19%	100%	0.01%	899.0213X
SAMN22028801	2,804,624 	0.83%	100%	0.03%	387.3572X
SAMN22028802	112,831 	2.78%	100%	0.02%	64.7817X
SAMN22028803	1,616,541 	0.02%	99.93%	0%	1.382X
SAMN22028804	635,130 	0.72%	100%	0.01%	19.6497X
SAMN22028806	972,284 	0.23%	100%	0%	65.1669X
SAMN22028807	833,851 	0.33%	99.89%	0%	90.6474X
SAMN22028808	1,197,261 	0.24%	100%	0%	96.2591X
SAMN22028809	100,716 	0.33%	100%	0%	7.4807X
SAMN22028810	1,218,563 	0.13%	100%	0%	39.4383X
SAMN22028811	1,282,237 	0.13%	100%	0%	47.8826X
SAMN22028812	202,376 	0.11%	100%	0%	7.579X
SAMN22028813	383,461 	0.07%	100%	0%	8.9706X
SAMN22028814	767,279 	0.23%	100%	0%	65.6215X
SAMN22028815	366,816 	0.16%	100%	0%	20.2266X
SAMN22028816	210,846 	0.74%	100%	0%	49.827X
SAMN23313864	1,273,103 	0.35%	100%	0%	67.0015X
SAMN23313865	361,209 	1.10%	99.94%	0.01%	15.3512X
SAMN23313866	5,340,411 	0.03%	100%	0%	12.0731X
SAMN23313867	288,819 	0.23%	99.85%	0%	16.9934X
SAMN23313868	1,974,602 	0.07%	100%	0%	25.7813X
SAMN23313869	2,935,558 	0.07%	99.98%	0%	10.6567X
SAMN23313870	382,817 	0.16%	100%	0.02%	14.27X
SAMN23313871	5,367,025 	0.03%	99.8%	0%	8.5002X
SAMN23313872	4,818,275 	0.04%	99.98%	0%	8.4155X
SAMN23313873	30,808 	4.90%	100%	0.02%	29.5258X
SAMN23313874	352,719 	0.58%	100%	0%	40.7572X
SAMN23313875	3,257,909 	0.03%	99.84%	0%	5.3936X
SAMN24019814	5,366,274 	14.92%	98.15%	2.05%	626.0999X
SAMN28920880	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN28928760	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN28980106	1,183,350 	2.39%	100%	0.13%	671.821X
SAMN28980107	1,917,827 	1.68%	100%	0.11%	743.5151X
SAMN28980108	1,931,759 	1.32%	100%	0.07%	635.2996X
SAMN28980109	2,368,256 	1.65%	100%	0.12%	933.0585X
SAMN28980110	640,328 	1.31%	100%	0.04%	209.5916X
SAMN28980111	518,368 	1.00%	100%	0.01%	121.2476X
SAMN28980112	844,033 	2.02%	100%	0.08%	414.2584X
SAMN28980113	586,500 	3.92%	100%	0.19%	548.2255X
SAMN28980114	647,304 	0.09%	100%	0%	13.0232X
